Tweet,Hashtags,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat ,tellus,6.67E+15,6/30/2020 21:09,365,4,0.010958904,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non ,ullamcorper,8.27E+15,6/30/2020 17:14,184,2,0.010869565,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis ,in,2.81E+14,6/30/2020 16:59,2644,46,0.017397882,1,1,17,0,3,0,23,0,0,0,0,0,0,354,1
aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt ,vulputate,7.76E+15,6/30/2020 13:55,301,3,0.009966777,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue ,nonummy,6.13E+15,6/30/2020 12:13,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at ,ut,7.16E+15,6/30/2020 12:06,962,37,0.038461538,0,2,7,6,0,3,19,0,0,0,0,0,0,0,0
morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit ,scelerisque,8.41E+15,6/30/2020 11:29,198,4,0.02020202,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id ,pellentesque,1.70E+15,6/30/2020 11:20,1298,28,0.021571649,0,2,3,0,0,3,20,0,0,0,0,0,0,0,0
tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo ,justo,5.74E+15,6/30/2020 11:04,160,3,0.01875,0,1,1,0,0,0,1,0,0,0,0,0,0,27,0
ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla ,nisi,7.94E+15,6/30/2020 11:01,1080,25,0.023148148,0,2,7,0,2,2,9,0,0,0,0,0,0,191,3
